backend-1  | INFO:     Started server process [1]
backend-1  | INFO:     Waiting for application startup.
backend-1  | INFO:     Application startup complete.
backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1  | 2026-03-27 18:58:34,574 INFO [app.main] [main.py:60] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - request_started
backend-1  | 2026-03-27 18:58:34,576 INFO [app.auth] [auth.py:30] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - auth_success
backend-1  | 2026-03-27 18:58:35,611 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/items "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:36,570 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:36,915 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-07T14%3A23%3A59.072107 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:37,058 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-14T08%3A12%3A21.917621 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:37,219 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-20T12%3A20%3A10.601506 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:37,436 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-23T19%3A10%3A41.636506 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:37,591 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-27T15%3A27%3A03.856264 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:38,273 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-02-28T11%3A48%3A37.375890 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:38,440 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-01T17%3A57%3A50.178155 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:38,605 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-05T00%3A50%3A25.580069 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:38,764 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-06T12%3A28%3A39.932594 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:38,921 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-07T09%3A55%3A25.462547 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,084 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-07T14%3A53%3A48.552244 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,236 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-12T20%3A23%3A49.474661 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,384 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-13T16%3A04%3A27.337891 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,536 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-14T09%3A49%3A45.451161 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,682 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-14T13%3A00%3A41.190408 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,830 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-14T19%3A46%3A12.163361 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:39,989 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-16T21%3A34%3A19.925218 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:40,139 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-18T16%3A30%3A20.410383 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:40,288 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-19T14%3A40%3A05.469816 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:40,443 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-20T13%3A48%3A14.660023 "HTTP/1.1 200 OK"
backend-1  | 2026-03-27 18:58:40,599 INFO [httpx] [_client.py:1740] [trace_id=160fb8ea7e69095366f85f2531d7bf8c span_id=d7bda3eb276bdb7a resource.service.name=Learning Management Service trace_sampled=True] - HTTP Request: GET https://auche.namaz.live/api/logs?limit=500&since=2026-03-21T06%3A44%3A01.753883 "HTTP/1.1 200 OK"
